00:78:88:2C:80:10,-57
00:78:88:4F:06:60,-68
00:78:88:28:05:B0,-64
00:C1:64:8A:85:80,-64
00:C1:64:F2:F3:50,-88
00:C1:64:8A:85:8F,-67
00:78:88:4F:06:6F,-82
00:78:88:2C:80:1F,-51
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-85
00:78:88:28:05:BF,-69
00:78:88:2C:80:10,-58
00:78:88:4F:06:60,-68
00:78:88:28:05:B0,-65
00:C1:64:8A:85:80,-64
00:C1:64:F2:F3:50,-88
00:C1:64:8A:85:8F,-65
00:78:88:4F:06:6F,-82
00:78:88:2C:80:1F,-49
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-85
00:78:88:28:05:BF,-71
00:78:88:2B:53:10,-73
00:78:88:2C:80:10,-54
00:78:88:4F:06:60,-67
00:78:88:28:05:B0,-68
00:C1:64:8A:85:80,-64
00:C1:64:F2:F3:50,-88
00:C1:64:8A:85:8F,-64
00:78:88:4F:06:6F,-84
00:78:88:2C:80:1F,-53
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-87
00:78:88:28:05:BF,-70
00:78:88:2B:53:10,-74
00:78:88:2E:72:20,-79
A0:3D:6F:66:D9:40,-86
00:78:88:2C:80:10,-56
00:78:88:4F:06:60,-67
00:78:88:28:05:B0,-65
00:C1:64:8A:85:80,-64
00:C1:64:F2:F3:50,-88
00:C1:64:8A:85:8F,-66
00:78:88:4F:06:6F,-75
00:78:88:2C:80:1F,-53
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-84
00:78:88:28:05:BF,-69
00:78:88:2B:53:10,-74
00:78:88:2E:72:20,-79
A0:3D:6F:66:D9:40,-86
00:78:88:2C:80:10,-56
00:78:88:4F:06:60,-69
00:78:88:28:05:B0,-65
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-66
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-53
00:C1:64:C3:84:7F,-88
00:78:88:2B:53:1F,-85
00:78:88:28:05:BF,-71
00:78:88:2B:53:10,-74
00:78:88:2E:72:20,-79
A0:3D:6F:66:D9:40,-86
00:78:88:18:1D:20,-84
00:78:88:2C:80:10,-59
00:78:88:4F:06:60,-69
00:78:88:28:05:B0,-65
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-68
00:78:88:4F:06:6F,-76
00:78:88:2C:80:1F,-53
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-85
00:78:88:28:05:BF,-70
00:78:88:2B:53:10,-74
00:78:88:2E:72:20,-79
A0:3D:6F:66:D9:40,-86
00:78:88:18:1D:20,-81
00:C1:64:F2:F4:5F,-88
00:78:88:2C:80:10,-61
00:78:88:4F:06:60,-65
00:78:88:28:05:B0,-67
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-65
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-50
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-83
00:78:88:28:05:BF,-68
00:78:88:2E:72:20,-77
00:78:88:18:1D:20,-81
00:C1:64:F2:F4:5F,-88
00:78:88:2C:80:10,-59
00:78:88:4F:06:60,-65
00:78:88:28:05:B0,-67
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-66
00:78:88:4F:06:6F,-74
00:78:88:2C:80:1F,-64
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-83
00:78:88:28:05:BF,-68
00:78:88:2E:72:20,-77
00:78:88:18:1D:20,-81
00:C1:64:F2:F4:5F,-83
00:C1:64:C3:84:70,-84
00:78:88:2C:80:10,-64
00:78:88:4F:06:60,-67
00:78:88:28:05:B0,-67
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-65
00:78:88:4F:06:6F,-75
00:78:88:2C:80:1F,-51
00:C1:64:C3:84:7F,-88
00:78:88:2B:53:1F,-83
00:78:88:28:05:BF,-71
00:78:88:2E:72:20,-77
00:78:88:18:1D:20,-81
00:C1:64:F2:F4:5F,-83
00:C1:64:C3:84:70,-85
00:78:88:2C:80:10,-58
00:78:88:4F:06:60,-70
00:78:88:28:05:B0,-64
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-66
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-60
00:C1:64:C3:84:7F,-88
00:78:88:2B:53:1F,-83
00:78:88:28:05:BF,-70
00:78:88:2E:72:20,-77
00:C1:64:F2:F4:5F,-88
00:C1:64:C3:84:70,-85
00:78:88:2B:53:10,-72
00:C1:64:F2:F3:50,-87
00:78:88:2C:80:10,-64
00:78:88:4F:06:60,-67
00:78:88:28:05:B0,-67
00:C1:64:8A:85:80,-65
00:C1:64:8A:85:8F,-66
00:78:88:4F:06:6F,-77
00:78:88:2C:80:1F,-59
00:C1:64:C3:84:7F,-88
00:78:88:2B:53:1F,-86
00:78:88:28:05:BF,-70
00:C1:64:F2:F4:5F,-88
00:C1:64:C3:84:70,-85
00:78:88:2B:53:10,-72
00:C1:64:F2:F3:50,-87
00:78:88:2C:80:10,-64
00:78:88:4F:06:60,-68
00:78:88:28:05:B0,-67
00:C1:64:8A:85:80,-63
00:C1:64:8A:85:8F,-64
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-62
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-84
00:78:88:28:05:BF,-71
00:C1:64:F2:F4:5F,-82
00:C1:64:C3:84:70,-85
00:78:88:2B:53:10,-72
00:C1:64:F2:F3:50,-87
00:78:88:2C:80:10,-58
00:78:88:4F:06:60,-68
00:78:88:28:05:B0,-67
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-64
00:78:88:4F:06:6F,-73
00:78:88:2C:80:1F,-55
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-83
00:78:88:28:05:BF,-69
00:C1:64:F2:F4:5F,-85
00:C1:64:C3:84:70,-86
00:78:88:2B:53:10,-72
00:C1:64:F2:F3:50,-87
00:78:88:2C:80:10,-63
00:78:88:4F:06:60,-66
00:78:88:28:05:B0,-69
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-65
00:78:88:4F:06:6F,-73
00:78:88:2C:80:1F,-62
00:C1:64:C3:84:7F,-87
00:78:88:2B:53:1F,-81
00:78:88:28:05:BF,-66
00:C1:64:F2:F4:5F,-83
00:C1:64:C3:84:70,-86
00:78:88:2B:53:10,-72
00:78:88:2C:80:10,-64
00:78:88:4F:06:60,-66
00:78:88:28:05:B0,-69
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-61
00:78:88:4F:06:6F,-77
00:78:88:2C:80:1F,-61
00:C1:64:C3:84:7F,-88
00:78:88:2B:53:1F,-86
00:78:88:28:05:BF,-68
00:C1:64:F2:F4:5F,-84
00:C1:64:C3:84:70,-86
00:78:88:2C:80:10,-62
00:78:88:4F:06:60,-66
00:78:88:28:05:B0,-69
00:C1:64:8A:85:80,-64
00:C1:64:8A:85:8F,-63
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-57
00:C1:64:C3:84:7F,-88
00:78:88:2B:53:1F,-82
00:78:88:28:05:BF,-69
00:C1:64:F2:F4:5F,-84
00:C1:64:C3:84:70,-86
00:78:88:2C:80:10,-61
00:78:88:4F:06:60,-66
00:78:88:28:05:B0,-65
00:C1:64:8A:85:80,-63
00:C1:64:8A:85:8F,-68
00:78:88:4F:06:6F,-77
00:78:88:2C:80:1F,-64
00:C1:64:C3:84:7F,-88
